source_id,source_name,url,title,subdomain,data_type,language_type,file_type,access_date,license_note,status
DIAB_001,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/Diabetes_NEPALI.pdf,Diabetes,diabetes,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_002,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/DiabetesWoundHealing_NEPALI.pdf,Diabetes and Wound Healing,diabetes,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_003,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/FastingBloodSugar_NE.pdf,Fasting Blood Sugar Test,diabetes_testing,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_004,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/GlucoseMeter_NEPALI.pdf,How to Use a Glucose Meter,diabetes_testing,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_005,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/HighBloodSugar_NEPALI.pdf,High Blood Sugar,diabetes_complications,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_006,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/DrawingUpOneInsulin_NEPALI.pdf,Drawing Up One Insulin,diabetes_medicines,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_007,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/HowUseInsulinPen_NEPALI.pdf,How to Use an Insulin Pen,diabetes_medicines,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_008,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/MixingTwoInsulins_NEPALI.pdf,Mixing Two Insulins,diabetes_medicines,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_009,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/DiabetesEyeProblems_NEPALI.pdf,Diabetes and Eye Problems,diabetic_eye_problems,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
DIAB_010,Health Information Translations,https://storage.googleapis.com/healthinfotranslations-pdfdocs/DiabeticRetinopathy_NEPALI.pdf,Diabetic Retinopathy,diabetic_eye_problems,bilingual_pdf,en-ne,pdf,2026-05-18,personal_noncommercial_use_only_verify_before_redistribution,already_downloaded
